"name","winner","firstLetter","letters","secondLetter","vowels","nonVowels","secondLetterVowel"
"Masayuki Inaba","+","M","13","a","6","6","1"
"Shai Ben-David","-","S","12","h","5","7","0"
"Dan Roth","+","D","7","a","2","5","1"
"Lisa Hellerstein","+","L","15","i","6","9","1"
"Geoffrey Gordon","+","G","14","e","5","9","1"
"Paul Vitanyi","+","P","11","a","5","6","1"
"Anselm Blumer","-","A","12","n","3","8","0"
"Jeff Jackson","+","J","11","e","3","8","1"
"Steven W. Norton","-","S","13","t","4","9","0"
"R. Bharat Rao","-","R","10",".","4","6","0"
"Matthias Heger","+","M","13","a","5","8","1"
"Nicolo Cesa-Bianchi","+","N","17","i","8","9","1"
"David Montgomery","+","D","15","a","5","10","1"
"Patricia J. Riddle","+","P","15","a","6","9","1"
"J. Jeffrey Mahoney","-","J","15",".","5","10","0"
"Kazushi Ikeda","+","K","12","a","5","6","1"
"Thomas G. Dietterich","-","T","17","h","6","11","0"
"Pang-Chieh Chen","+","P","13","a","4","9","1"
"Paul Utgoff","+","P","10","a","3","6","1"
"Joseph O'Sullivan","+","J","15","o","5","9","1"
"Toshiyasu Matsushima","+","T","19","o","8","11","1"
"Timothy P. Barber","+","T","14","i","4","10","1"
"Phil Long","-","P","8","h","2","6","0"
"Tal Grossman","+","T","11","a","3","8","1"
"Donna Slonim","+","D","11","o","4","7","1"
"Tatsuo Unemi","+","T","11","a","5","5","1"
"Krishnan Pillaipakkamnatt","-","K","24","r","8","16","0"
"Lorenza Saitta","+","L","13","o","6","7","1"
"Usama Fayyad","-","U","11","s","4","6","0"
"Jude Shavlik","+","J","11","u","4","7","1"
"David Helmbold","+","D","13","a","4","9","1"
"Grigoris Karakoulas","-","G","18","r","8","10","0"
"Tom Hancock","+","T","10","o","3","7","1"
"Drago Indjic","-","D","11","r","3","7","0"
"Gary Weiss","+","G","9","a","3","6","1"
"Frank Stephan","-","F","12","r","3","9","0"
"Kenji Yamanishi","+","K","14","e","6","8","1"
"Wan P. Chiang","+","W","10","a","3","7","1"
"Yoram Singer","+","Y","11","o","4","7","1"
"Melinda T. Gervasio","+","M","16","e","7","9","1"
"Kate Goelz","+","K","9","a","4","5","1"
"Roni Khardon","+","R","11","o","4","7","1"
"Nikolay Nikolaev","+","N","15","i","7","8","1"
"George H. John","+","G","11","e","4","7","1"
"Diana Gordon","+","D","11","i","5","6","1"
"Claire Cardie","-","C","12","l","6","6","0"
"Moshe Koppel","+","M","11","o","4","7","1"
"Andy Bernard","+","A","11","n","2","8","0"
"Marcos Salganicoff","+","M","17","a","6","11","1"
"David W. Opitz","+","D","11","a","3","7","1"
"Mark Changizi","+","M","12","a","4","8","1"
"Lars Asker","+","L","9","a","2","6","1"
"Dana Ron","+","D","7","a","3","4","1"
"Andrey Burago","-","A","12","n","4","7","0"
"Eddy Mayoraz","-","E","11","d","3","7","0"
"Mark Schwabacher","+","M","15","a","4","11","1"
"Carl H. Smith","+","C","10","a","2","8","1"
"Wee Sun Lee","+","W","9","e","5","4","1"
"Mario Marchand","+","M","13","a","5","8","1"
"David Pierce","+","D","11","a","5","6","1"
"Dan Oblinger","+","D","11","a","3","7","1"
"Lyle H. Ungar","-","L","10","y","2","7","0"
"Hiroshi Tanaka","+","H","13","i","6","7","1"
"Johanne Morin","+","J","12","o","5","7","1"
"Thomas Wengerek","-","T","14","h","5","9","0"
"Mark W. Craven","+","M","11","a","3","8","1"
"Tom Fawcett","+","T","10","o","3","7","1"
"John R. Rose","+","J","9","o","3","6","1"
"Richard A. Caruana","+","R","15","i","6","8","1"
"Steven Salzberg","-","S","14","t","4","10","0"
"Barak A. Pearlmutter","+","B","17","a","6","10","1"
"Chris Darken","-","C","11","h","3","8","0"
"Judy A. Franklin","+","J","13","u","3","9","1"
"Xuemei Wang","+","X","10","u","5","5","1"
"Nitin Indurkhya","+","N","14","i","4","9","1"
"Oded Maron","-","O","9","d","3","5","0"
"Takefumi Yamazaki","+","T","16","a","8","8","1"
"Satinder Pal Singh","+","S","16","a","5","11","1"
"Ron Kohavi","+","R","9","o","4","5","1"
"Michael de la Maza","+","M","15","i","7","8","1"
"Robert Sloan","+","R","11","o","4","7","1"
"Chun-Nan Hsu","-","C","10","h","3","7","0"
"Daniel Kortenkamp","+","D","16","a","6","10","1"
"Ricard Gavalda","+","R","13","i","5","8","1"
"Joe Suzuki","+","J","9","o","5","4","1"
"James S. Royer","+","J","11","a","4","7","1"
"Jyrki Kivinen","-","J","12","y","4","8","0"
"Tapio Elomaa","+","T","11","a","6","4","1"
"Michael Redmond","+","M","14","i","5","9","1"
"Rich Maclin","+","R","10","i","3","7","1"
"Jiarong Hong","+","J","11","i","4","7","1"
"Janusz Wnek","+","J","10","a","3","7","1"
"David B. Skalak","+","D","12","a","4","8","1"
"Daniel Hennessy","+","D","14","a","5","9","1"
"David Cohn","+","D","9","a","3","6","1"
"Merrick L. Furst","+","M","13","e","3","10","1"
"Lindley Darden","+","L","13","i","4","9","1"
"Steve A. Chien","-","S","11","t","4","6","0"
"Wai Lam","+","W","6","a","3","3","1"
"Paul W. Goldberg","+","P","13","a","4","9","1"
"Stephen Muggleton","-","S","16","t","5","11","0"
"Jason Catlett","+","J","12","a","4","8","1"
"Justinian Rosca","+","J","14","u","6","8","1"
"Sreerama K. Murthy","-","S","15","r","5","10","0"
"Richard S. Sutton","+","R","14","i","4","10","1"
"Michael W. Barley","+","M","14","i","5","9","1"
"Leslie Grate","+","L","11","e","5","6","1"
"Nathalie Japkowicz","+","N","17","a","7","10","1"
"Randolph Jones","+","R","13","a","4","9","1"
"John Rachlin","+","J","11","o","3","8","1"
"Moshe Leshno","+","M","11","o","4","7","1"
"Emanuel Knill","-","E","12","m","4","7","0"
"Sholom Weiss","-","S","11","h","4","7","0"
"Darko Zupanic","+","D","12","a","5","7","1"
"Thomas G. Spalthoff","-","T","16","h","4","12","0"
"Michael Kearns","+","M","13","i","5","8","1"
"Holly Yanco","+","H","10","o","3","7","1"
"Olivier De Vel","-","O","12","l","5","6","0"
"Tom Bylander","+","T","11","o","3","8","1"
"Johannes Furnkranz","+","J","17","o","5","12","1"
"Pat Langley","+","P","10","a","3","7","1"
"Javed Aslam","+","J","10","a","3","6","1"
"Jean Gabriel Ganascia","+","J","19","e","9","10","1"
"Sean Slattery","+","S","12","e","4","8","1"
"Michael A. meystel","+","M","15","i","5","9","1"
"Brian D. Davidson","-","B","14","r","5","9","0"
"David Gillman","+","D","12","a","4","8","1"
"Matevz Kovacic","+","M","13","a","5","8","1"
"Bala Kalyanasundaram","+","B","19","a","8","11","1"
"Martin Kummer","+","M","12","a","4","8","1"
"Manfred Warmuth","+","M","14","a","4","10","1"
"David Mathias","+","D","12","a","5","7","1"
"Brian Tester","-","B","11","r","4","7","0"
"Nicolas Fiechter","+","N","15","i","6","9","1"
"Aurora Perez","+","A","11","u","5","5","1"
"Michael Scott","-","M","12","i","4","8","1"
"Naoki Abe","+","N","8","a","4","3","1"
"Kimmen Sjolander","+","K","15","i","5","10","1"
"Jeffery Clouse","+","J","13","e","5","8","1"
"Robert P. Daley","+","R","12","o","4","8","1"
"William Gasarch","+","W","14","i","5","9","1"
"Reinhard Blasig","+","R","14","e","5","9","1"
"Malini Bhandaru","+","M","14","a","6","8","1"
"Robert Schapire","+","R","14","o","5","9","1"
"Gary M. Selzer","+","G","11","a","3","8","1"
"Clare Bates Congdon","-","C","17","l","6","11","0"
"Martinch Krikis","+","M","14","a","4","10","1"
"John Case","+","J","8","o","3","5","1"
"Lance Fortnow","+","L","12","a","4","8","1"
"Lorien Y. Pratt","+","L","12","o","4","8","1"
"Klaus P. Jantke","-","K","12","l","4","8","0"
"Haralabos Athanassiou","+","H","20","a","9","10","1"
"Bradley L. Whitehall","-","B","17","r","5","12","0"
"Sridhar Mahadevan","-","S","16","r","6","10","0"
"Craig Nevill-Manning","-","C","18","r","6","12","0"
"Paul Fischer","+","P","11","a","4","7","1"
"Hal Duncan","+","H","9","a","3","6","1"
"Von-Wun Soo","+","V","9","o","4","5","1"
"Bill Byrne","+","B","9","i","2","7","1"
"Myriam Abramson","-","M","14","y","4","9","0"
"Creed Bratton","+","C","12","r","4","8","0"
"Minoru Asada","+","M","11","i","5","5","1"
"Tom M. Mitchell","+","T","12","o","3","9","1"
"Jean-Daniel Zucker","+","J","16","e","7","9","1"
"Sonya Snedecor","+","S","13","o","5","8","1"
"Glenn Silverstein","-","G","16","l","5","11","0"
"Avrim Blum","-","A","9","v","2","6","0"
"Scott E. Decatur","-","S","13","c","4","8","0"
"Dana Angluin","+","D","11","a","4","6","1"
"Wolfgang Maass","+","W","13","o","4","9","1"
"Chidanand Apte","-","C","13","h","4","8","0"
"Marko Grobelnik","+","M","14","a","5","9","1"
"Mary Soon Lee","+","M","11","a","5","6","1"
"Zhixiang Chen","-","Z","12","h","4","8","0"
"Mona Singh","+","M","9","o","3","6","1"
"Justin Boyan","+","J","11","u","4","7","1"
"Daniel L. Silver","+","D","13","a","5","8","1"
"David W. Aha","+","D","9","a","3","5","1"
"Robert S. Roos","+","R","11","o","4","7","1"
"David Loewenstern","+","D","16","a","6","10","1"
"Eric Baum","-","E","8","r","3","4","0"
"John M. Zelle","+","J","10","o","3","7","1"
"Arun Sharma","-","A","10","r","3","6","0"
"Ronitt Rubinfeld","+","R","15","o","5","10","1"
"Thomas Ellman","-","T","12","h","3","8","0"
"Aaron Feigelson","+","A","14","a","6","7","1"
"Harris Drucker","+","H","13","a","4","9","1"
"Carla E. Brodley","+","C","13","a","4","8","1"
"Alexander M. Meystel","-","A","17","l","5","11","0"
"Maja Mataric","+","M","11","a","5","6","1"
"Leonard Pitt","+","L","11","e","4","7","1"
"Eyal Kushilevitz","-","E","15","y","5","9","0"
"Long-Ji Lin","+","L","9","o","3","6","1"
"Ameur Foued","-","A","10","m","5","4","0"
"Antoine Cornuejols","-","A","17","n","7","9","0"
"Welton Becket","+","W","12","e","4","8","1"
"Haym Hirsh","+","H","9","a","2","7","1"
"Hiroshi Motoda","+","H","13","i","6","7","1"
"John Fischer","+","J","11","o","3","8","1"
"George A. Drastal","+","G","14","e","5","8","1"
"William Cohen","+","W","12","i","5","7","1"
"Jing Peng","+","J","8","i","2","6","1"
"Alma Whitten","-","A","11","l","3","7","0"
"David Haussler","+","D","13","a","5","8","1"
"Joel Ratsaby","+","J","11","o","4","7","1"
"L. Thorne McCarty","-","L","14",".","3","11","0"
"Chen K. Tham","-","C","9","h","2","7","0"
"Kan Deng","+","K","7","a","2","5","1"
"Russell Greiner","+","R","14","u","5","9","1"
"Steffen Lange","-","S","12","t","4","8","0"
"Andrew W. Moore","-","A","12","n","4","7","0"
"Armand Prieditis","-","A","15","r","5","9","0"
"Dunja Mladenic","+","D","13","u","5","8","1"
"Jong-Hoon Oh","+","J","10","o","3","6","1"
"Ken Lang","+","K","7","e","2","5","1"
"Bernhard Pfahringer","+","B","18","e","5","13","1"
"Ronald L. Rivest","+","R","13","o","4","9","1"
"Robert Williamson","+","R","16","o","6","10","1"
"Stuart Russell","-","S","13","t","4","9","0"
"Andrew Y. Ng","-","A","9","n","1","7","0"
"Efim Kinber","-","E","10","f","3","6","0"
"David Finton","+","D","11","a","4","7","1"
"Mark Staley","+","M","10","a","3","7","1"
"Filippo Neri","+","F","11","i","5","6","1"
"Jonathan Hodgson","+","J","15","o","5","10","1"
"Dennis F. Kibler","+","D","13","e","4","9","1"
"Michael J. Donahue","+","M","15","i","7","8","1"
